occurance;type;le_name;le_stand;source
End;abbr;ohgmsz;OHGMSZ;ECB
End;abbr;oi;OI;ECB
End;full;openbare instelling;OI;ECB
End;full;organizações internacionais;OI;ECB
End;abbr;ojsc;OJSC;OWN
End;full;open joint stock company;OJSC;OWN
End;abbr;ong;ONG;ECB
End;full;organizație non-guvernamentală;ONG;ECB
End;abbr;ood;OOD;ECB
End;abbr;op;OP;ECB
End;full;osuuspankki;OP;ECB
End;full;opdrachthoudende vereniging;OPDRAVER;ECB
End;abbr;opdraver;OPDRAVER;ECB
End;full;office public d'habitation à loyer modéré;OPHLM;ECB
End;abbr;ophlm;OPHLM;ECB
End;full;obecně prospěšná společnost;OPS;ECB
